url,page_number,commenter_id,date_time,like_count,comment_text_chinese,comment_text_english
https://www.bilibili.com/video/BV13J411V72Y,1,歪唔歪唔,2020-01-10 21:55:00,25123,事实证明国内的pop风歌不是词的锅……是真的没有好编曲,It turns out that the domestic POP wind song is not a word of words ... it is really not good for arranging
https://www.bilibili.com/video/BV13J411V72Y,1,幸运的Muz,2020-01-10 06:21:22,16345,"Psycho
cover Red Velvet
填词/翻唱：Muz
录/混：Dz（南京指音音乐工作室）

“孤独久了会成病的。
  没有人陪我，我可以自己陪自己” 

沙漏里的那个她
在寂寞风沙中发芽
幻想就着光的余晖
用泪水浇灌成完美
这种感情太愚昧 I don't play the game

这是第一次遇会
太难得这异类的同类
我们把心撞的清脆
再一饮而醉
快乐颓废都加倍

躺在寂静中 沦为故事的鬼魅
一双人四目相对（夜的漆黑）
谁在夜幕下沉睡（是孤独从中作祟）

You got me feeling like a psycho psycho
灵魂在我身体失重 失控
那些破碎的记忆在翻涌
宣告着有恃无恐
当快乐加重 再刺破伤口
like a psycho psycho
不如把我困在牢笼里掏空
每个我都妄想自我赎救
却沦为困兽之斗
再紧紧相拥
hey now we’ll be OK","Psycho
COVER Red Velvet
Lyric/cover: muz
Record/Mixed: DZ (Nanjing Finger Yin Music Studio)

""Loneliness can become sick for a long time.
  No one can accompany me, I can accompany myself ""

She in the hourglass
Gel in lonely wind sand
Fantasy is the afterglow of light
Pour it into perfection with tears
This feeling is too ignorant I do't play the game

This is the first time
Too rare similar kinds
We bumped our hearts crispy
Drunk again
Happy and decadent all double

Lying in silence and becoming a ghost of the story
A pair of people and four eyes are relative (night's darkness)
Who is sleeping in the night (it is lonely from it)

You get me feeling like a psycho psycho
The soul is out of control in my body
Those broken memories are surging
Announced that there is no fear
When happiness worsen and pierce the wound
like a psycho psycho
It's better to stuck me in a cage and hollowing out
Every I want to redeem myself
But it is reduced to the fight of the beast
Embrace each other tightly
hey now we’ll be ok"
https://www.bilibili.com/video/BV13J411V72Y,1,一碟蛋包饭wo,2020-01-10 08:14:23,11925,以前总觉得外文翻译成中文唱出来很尬，但是听了up的填词就完全不觉得了,"I used to think that foreign languages were translated into Chinese and sang very embarrassing, but after listening to UP's lyrics, I don’t feel it."
https://www.bilibili.com/video/BV13J411V72Y,1,花央甜酒,2020-01-10 15:26:04,5587,填词真的爱了……kpop的中文填词翻唱里，毫无违和感且味道十足的真的是第一次听到！既不是干巴巴的翻译 又不是完全脱离原曲的全新词作，原曲的意境和中文的韵味完美融合太绝了！！,"I really love lyrics ... KPOP's Chinese lyrics cover, it is really the first time I heard it!It is neither the translation of Ganba nor the new words that are completely out of the original song. The perfect fusion of the original song's artistic conception and the charm of Chinese!Intersection"
https://www.bilibili.com/video/BV13J411V72Y,1,Whose时光,2020-02-02 23:13:42,2453,从中文直译《神经病》那来，要笑死了，这对比[doge],"In the Chinese literal translation of ""Neuropathy"", it is to laugh to death, which is compared [Doge]"
https://www.bilibili.com/video/BV13J411V72Y,1,说谎会长猪鼻子,2020-01-10 06:24:52,3944,填词毫无违和感！太好听了！同时祈祷温温早点好起来！[锦鲤],"There is no sense of lyrics!sounds amazing!At the same time, pray that warm and warm early![Koi]"
https://www.bilibili.com/video/BV13J411V72Y,1,陈满枝,2020-01-10 06:47:16,3284,姐姐要试试IU的Blueming吗,Do my sister want to try IU's blueming?
https://www.bilibili.com/video/BV13J411V72Y,1,梨窝樱桃小丸子,2020-01-12 04:04:25,734,up的填词，再来个编曲大神，我仿佛看到了内娱的未来[大哭][大哭][大哭]很喜欢kpop，但也非常希望国内的音乐也可以爆起来，现在这些流量，哎，真的是没作品啊[笑哭][笑哭][笑哭]支持美美的up吖！！！,"UP's lyrics, let's have a big arrangement, I seem to see the future of internal entertainment [Cry] [Cry] [Cry] [Big Cry] I like KPOP very much, but I also hope that domestic music can also explode. Now these traffic, these traffic, nowHey, it's really no work [laughing] [laughing] [laughing] [laughing] supporting beautiful UP 吖!IntersectionIntersection"
https://www.bilibili.com/video/BV13J411V72Y,1,是小棉花呀_,2020-01-11 09:26:49,877,想听BTS的 春日(°∀°)ﾉ 神仙up 太好听了,I want to listen to the spring day (° ∀ °) of BTS (° ∀ °) ﾉ the fairy UP is so nice
https://www.bilibili.com/video/BV13J411V72Y,1,肥肥怪兽,2020-01-10 11:07:25,1788,"神仙up：Muz
化得的仿妆
写的了歌词
and
可以把人融化的嗓音

都给我粉！！！[打call][打call][打call]","Fairy up: MUZ
Make -up imitation makeup
I wrote the lyrics
and
The voice that can melt people

Give me powder!IntersectionIntersection[Call] [Call] [Call]"
